uid,text,gold_label,gold_str,pred_dynamic,pred_dynamic_str,correct_dynamic,pred_static,correct_static,pred_bert,correct_bert,pred_vader,correct_vader,noise_score,noise_group,alpha,token_length,emoji_density,repetition_score,code_mixing_ratio,symbol_density,p_vader,p_distilbert,p_final,confidence
10426,RT @ DHEERAJ48968067 @ nirahua1 @ msunilbishnoi Wah bhai Shandaar jabab,0,positive,2,neutral,0,2,0,0,1,2,0,0.0701,LOW,0.02,14,0.0,0.0,0.0909,0.2143,"[0.0, 0.0, 1.0]","[0.4783, 0.0497, 0.472]","[0.4687, 0.0487, 0.4826]",0.4826
3038,RT @ deepakrajput97 @ sohailm08283995 @ SiR2712 @ krishan _ goa @ reema _ sahanii suar tere jaiso ko sikhaya ja hi nahi sakta kyonki tu suar hai kh â€¦,1,negative,1,negative,1,1,1,1,1,2,0,0.1196,LOW,0.02,35,0.0,0.0,0.2273,0.2571,"[0.0, 0.0, 1.0]","[0.0379, 0.8715, 0.0906]","[0.0371, 0.8541, 0.1088]",0.8541
37328,@ UdarOfficial Tere jesy chotiya sath hoge jo k conceler banny k laiq be nhi hain to koj nai badalna Pakistan da,1,negative,1,negative,1,1,1,1,1,2,0,0.1216,LOW,0.02,22,0.0,0.0,0.375,0.0455,"[0.0, 0.0, 1.0]","[0.0358, 0.893, 0.0712]","[0.0351, 0.8751, 0.0898]",0.8751
11313,Samarthan ke aabhav aur rajnitik swartho ke karan iska kabhi bhi sahi nyay nahi Kiya Gaya roshavash dharmik imarat â€¦ https // t co / Dlsp4clk52,2,neutral,2,neutral,1,2,1,2,1,2,1,0.0453,LOW,0.02,30,0.0,0.0,0.04,0.1667,"[0.0, 0.0, 1.0]","[0.1731, 0.1993, 0.6276]","[0.1697, 0.1953, 0.635]",0.635
32158,RT @ AnujVer43198765 @ narendramodi Congratulations sir ji Dobara pm banee ki hardik subhkamnaye aapko,0,positive,0,positive,1,0,1,0,1,2,0,0.0664,LOW,0.02,17,0.0,0.0,0.1429,0.1176,"[0.245, 0.0, 0.755]","[0.9125, 0.0108, 0.0767]","[0.8992, 0.0106, 0.0902]",0.8992
2598,RT @ sahiljoshii Now kisan samman yojana for all no 5 Hector criteria anymore pension scheme for farmers 3000 rs per month and vaccin â€¦,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2857,MODERATE,0.25,27,0.0,0.1111,0.7857,0.1111,"[0.0, 0.091, 0.909]","[0.1724, 0.1333, 0.6943]","[0.1293, 0.1227, 0.748]",0.748
12837,RT @ mis _ bahu No Enlish word has double '' oo '' except Good . Prove me wrong ?ðŸ¤— https // t . co / dNFMsFJNcF,2,neutral,2,neutral,1,2,1,2,1,2,1,0.3303,MODERATE,0.25,33,0.0,0.0,0.8182,0.4242,"[0.111, 0.202, 0.687]","[0.0771, 0.0885, 0.8344]","[0.0856, 0.1168, 0.7976]",0.7976
26050,Modi ka lehar kisano pe baras raha kehar tut rahe haath pao road ki buri halato ka aasar @ aajtak @ BBCBreaking â€¦ https // t . co / 3FfAp8y2GP,1,negative,1,negative,1,1,1,1,1,2,0,0.1385,LOW,0.02,33,0.0,0.0,0.3,0.2424,"[0.0, 0.0, 1.0]","[0.075, 0.6977, 0.2273]","[0.0735, 0.6837, 0.2428]",0.6837
30898,@ ravindraj12 @ TarekFatah Yarr India me aise log b hain ??? Life me 1st time India ka koi banda Positive dekha Appreciate u bro ðŸ‡µðŸ‡°â¤ðŸ‡®ðŸ‡³,0,positive,2,neutral,0,2,0,2,0,2,0,0.3435,MODERATE,0.25,42,0.0238,0.0714,0.875,0.2857,"[0.255, 0.0, 0.745]","[0.4683, 0.0533, 0.4784]","[0.415, 0.0399, 0.5451]",0.5451
22656,@ BaijnathMourya @ mssirsa @ AapkamanojS @ ArvindKejriwal Haan Mai free Wi-Fi dunga free water dunga Sasti Bijli doo â€¦ https // t co / d4uOIcb562,0,positive,2,neutral,0,2,0,2,0,2,0,0.1327,LOW,0.02,29,0.0,0.0,0.2353,0.3103,"[0.268, 0.0, 0.732]","[0.0918, 0.3452, 0.563]","[0.0953, 0.3383, 0.5664]",0.5664
2755,Log kitna bara chootiya hy jhoot ko such manker vote krdiya bcz of govt foult terror bring 100 + kg rdx and killed 5â€¦ https // t co / DKMZdwqd1c,1,negative,1,negative,1,1,1,1,1,2,0,0.2186,MODERATE,0.25,34,0.0,0.0,0.6111,0.1765,"[0.0, 0.24, 0.76]","[0.0346, 0.857, 0.1084]","[0.026, 0.7027, 0.2713]",0.7027
16061,@ asifnkhan08 @ SAUMEN _ BANERJ _ E @ JhaSanjay Time and circumstances ke sath jo change nhi hota vo sabse bada bewakuf ho â€¦ https // t co / GPIt7Q9zJx,1,negative,2,neutral,0,2,0,2,0,2,0,0.1606,LOW,0.02,36,0.0,0.0,0.35,0.2778,"[0.0, 0.0, 1.0]","[0.098, 0.266, 0.636]","[0.0961, 0.2607, 0.6432]",0.6432
3364,@ iawoolford Kuchh samajh aaya Shukla ji ? Thoda unko respect dena bhi sikh lo Tumhe kaun si south Indian language a â€¦ https // t co / EvFXqDkBZn,2,neutral,2,neutral,1,1,0,1,0,2,1,0.2313,MODERATE,0.25,32,0.0,0.0,0.625,0.2188,"[0.119, 0.0, 0.881]","[0.1128, 0.5101, 0.3772]","[0.1143, 0.3826, 0.5031]",0.5031
2926,@ AhmedRazaQadri Wah MASHA ALLAH ðŸ¥°ðŸ¥°â¤â¤ðŸŒ¹ðŸŒ¹ Bilkul ap Quran ePak ki tilawat itni achi krty hain k dil ko bht skon milta h â€¦ https // tco / K8OGQIeznf,0,positive,2,neutral,0,2,0,2,0,2,0,0.1239,LOW,0.02,47,0.0,0.0,0.2143,0.2979,"[0.0, 0.0, 1.0]","[0.3699, 0.1591, 0.471]","[0.3625, 0.1559, 0.4816]",0.4816
29391,@ Sicilian __ Mafia Bhaai Engineers sirf love hi krte hain . Wo love marriage mai convert naaai hoti,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2347,MODERATE,0.25,19,0.0,0.1579,0.5455,0.1579,"[0.359, 0.0, 0.641]","[0.3173, 0.0892, 0.5935]","[0.3277, 0.0669, 0.6054]",0.6054
36692,@ jaavedjaaferi @ MeezaanJ Congrats and best of luck to @ MeezaanJ @ jaavedjaaferi he reminds about you of your looks o â€¦ https // t co / xn4pbtUiCz,0,positive,0,positive,1,0,1,0,1,2,0,0.3101,MODERATE,0.25,32,0.0,0.0,0.8462,0.2812,"[0.358, 0.0, 0.642]","[0.8899, 0.0129, 0.0972]","[0.7569, 0.0097, 0.2334]",0.7569
24682,RT @ ImUrsTarun Zinda Hoon Main Tujhme Tujhme Rahunga Zinda Todke Sab Zanjeerein Main Aazad Parinda ðŸ”¥ One Of The Best Song Ever ðŸ’¥ ðŸ”¥ GO â€¦,0,positive,0,positive,1,0,1,0,1,2,0,0.2279,MODERATE,0.25,35,0.0,0.0,0.5882,0.2571,"[0.144, 0.0, 0.856]","[0.6192, 0.0392, 0.3416]","[0.5004, 0.0294, 0.4702]",0.5004
21692,RT @ IshqFM You could win a free trip for two to watch India play for the world cup in England . You can invite Priya or maybe Alisha . That â€¦,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1044,LOW,0.02,34,0.0,0.0,0.25,0.1471,"[0.316, 0.0, 0.684]","[0.197, 0.0485, 0.7546]","[0.1993, 0.0475, 0.7531]",0.7531
16349,@ FaryalFKhan Seedi golian bersai he ... kisi ma himmat nahi unko poochay .. ka bher bukriyan thin jin ko mara ... Lanat puppet govt per,1,negative,1,negative,1,1,1,1,1,2,0,0.2813,MODERATE,0.25,26,0.0,0.2308,0.6429,0.1538,"[0.0, 0.0, 1.0]","[0.0553, 0.8049, 0.1398]","[0.0415, 0.6037, 0.3549]",0.6037
22282,@ pearltaes why did i not see them kuch mahine pehle eye -,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1808,LOW,0.02,13,0.0,0.0,0.5,0.1538,"[0.0, 0.0, 1.0]","[0.0725, 0.227, 0.7005]","[0.071, 0.2224, 0.7065]",0.7065
9078,@ ZeeNews Mein toh chahta hoon ye resign na kare ... Ye jab tak rahega @ BJP4India aaram se elections jeetegi ... Aur ent â€¦ https // t . co / Djgtp4hTtb,2,neutral,1,negative,0,1,0,1,0,2,1,0.1598,LOW,0.02,37,0.0,0.1622,0.2174,0.2703,"[0.0, 0.085, 0.915]","[0.0674, 0.7461, 0.1865]","[0.0661, 0.7329, 0.201]",0.7329
10672,i want to video edit with picsart but the subscription costs too much and im not that desperate to edit for 8 dollars per month . Sighhh .,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1268,LOW,0.02,28,0.0,0.1071,0.2857,0.0714,"[0.14, 0.0, 0.86]","[0.0896, 0.0972, 0.8132]","[0.0906, 0.0952, 0.8142]",0.8142
44031,@ pbhushan1 Oxford ko apne pichwade mein Daal le .. who gives a fuck .. India has voted .. tum jaise chuzze ab 5 saal t â€¦ https // t . co / 0msQw3omXN,1,negative,1,negative,1,1,1,1,1,2,0,0.1876,LOW,0.02,38,0.0,0.0,0.45,0.2632,"[0.0, 0.119, 0.881]","[0.0363, 0.8959, 0.0678]","[0.0356, 0.8803, 0.0841]",0.8803
36522,Hon P M Modi Sir I Wish you best Luck and God bless you Shankar V Rathva Ex MLA Chhota-Udepur Gujarat,0,positive,0,positive,1,0,1,0,1,0,1,0.0882,LOW,0.02,21,0.0,0.0,0.2941,0.0,"[0.552, 0.0, 0.448]","[0.8954, 0.0148, 0.0899]","[0.8885, 0.0145, 0.097]",0.8885
16135,@ akki _ dhoni @_ iRajeev You are stalking me bro . Just shut up and nikal . Le . Faltu logo ki mention mein jagah nahi haii,1,negative,1,negative,1,1,1,1,1,2,0,0.2736,MODERATE,0.25,28,0.0,0.0,0.7692,0.2143,"[0.0, 0.0, 1.0]","[0.048, 0.7708, 0.1812]","[0.036, 0.5781, 0.3859]",0.5781
18612,Tum jaise bike hue godi media ke show me nahi Jana rashtra hit me bahut achha faisla hai . Aise media ko parmanent i â€¦ https // t . co / Fyqer2WHG8,1,negative,2,neutral,0,2,0,2,0,2,0,0.2389,MODERATE,0.25,36,0.0,0.0,0.6667,0.1944,"[0.0, 0.0, 1.0]","[0.1112, 0.3078, 0.5811]","[0.0834, 0.2308, 0.6858]",0.6858
5794,@ cchimbap My parents love them too so yes haha ðŸ˜‚ðŸ’œ almost everyone from my fam actually,0,positive,0,positive,1,0,1,0,1,2,0,0.1748,LOW,0.02,22,0.0,0.0,0.4615,0.1818,"[0.458, 0.0, 0.542]","[0.7903, 0.0151, 0.1946]","[0.7837, 0.0148, 0.2015]",0.7837
17667,Sir @ ArvindKejriwal Aap bhi aisa drama kr do kam se km https // t . co / hbCFHG6tek,1,negative,2,neutral,0,2,0,2,0,2,0,0.1726,LOW,0.02,21,0.0,0.0,0.4167,0.2381,"[0.0, 0.0, 1.0]","[0.1434, 0.2167, 0.6398]","[0.1406, 0.2124, 0.6471]",0.6471
16583,RT @ thepradeep01 @ azkhawaja1 105 all out # HarJagahDher 150 run to bante nahi lekin kashmir chahiye bc .,1,negative,2,neutral,0,2,0,2,0,2,0,0.1164,LOW,0.02,22,0.0,0.0,0.2667,0.1818,"[0.0, 0.0, 1.0]","[0.0954, 0.3876, 0.517]","[0.0935, 0.3798, 0.5267]",0.5267
25678,RT @ Pratima48816302 @ GitaSKapoor Ye to aise apni details de rahe jaise iske Ghar ladki byahni ho humne apne .ðŸ˜‚ mansik santulan thik nhi iska â€¦,2,neutral,1,negative,0,1,0,1,0,2,1,0.0772,LOW,0.02,34,0.0,0.0,0.12,0.2059,"[0.0, 0.0, 1.0]","[0.063, 0.6383, 0.2988]","[0.0617, 0.6255, 0.3128]",0.6255
10844,RT @ tarani07615489 @ PoliceRajasthan corruption ki complain pe aap dhayan Kyu nahi dete ? Mene 2 baar tweet kiya ki jalor Police ( Ahore ) fr â€¦,1,negative,1,negative,1,1,1,1,1,2,0,0.1202,LOW,0.02,31,0.0,0.0,0.25,0.2258,"[0.0, 0.106, 0.894]","[0.063, 0.6428, 0.2942]","[0.0618, 0.632, 0.3062]",0.632
3791,@ ArnabGoswamiRtv @ RahulGandhi Kyu ki vo tumhari tarha chutiye nahi the Paid Media sale apne channel ka naam bhi â€¦ https // t . co / BNGlv19Wlj,1,negative,1,negative,1,1,1,1,1,2,0,0.1667,LOW,0.02,32,0.0,0.0,0.3889,0.25,"[0.0, 0.0, 1.0]","[0.0314, 0.8961, 0.0725]","[0.0308, 0.8781, 0.0911]",0.8781
21624,@ SeharKamran @_ Mansoor _ Ali @ ExpressNewsPK @ SMARC _ PPP @ PPPPInfoSecy Ye nalaiqon ka tola Ya ALLAH Pakistan ki khair,1,negative,1,negative,1,1,1,1,1,2,0,0.2293,MODERATE,0.25,23,0.0,0.3043,0.3077,0.3043,"[0.0, 0.0, 1.0]","[0.0981, 0.7189, 0.183]","[0.0736, 0.5392, 0.3872]",0.5392
43144,@ MajorPoonia mahilaye labh uthayengi . lekin vote bjp ko dengi . kyon ki 5 sal me kejariwsl ji ne kuch nahi kiya unko s â€¦ https // t . co / Bi4bChsJ38,1,negative,1,negative,1,1,1,1,1,2,0,0.17,LOW,0.02,36,0.0,0.0,0.4,0.25,"[0.0, 0.0, 1.0]","[0.0981, 0.5081, 0.3938]","[0.0961, 0.4979, 0.4059]",0.4979
42867,@ QasimalirazaAli Ye such bolne walo ko mar sakte lekin such ko daba nhi sakhte or such ko jitna dabane ki koshish k â€¦ https // t co / RNCi0uDlOd,2,neutral,1,negative,0,1,0,1,0,2,1,0.1932,LOW,0.02,34,0.0,0.0,0.5263,0.1765,"[0.0, 0.0, 1.0]","[0.0998, 0.5404, 0.3598]","[0.0978, 0.5296, 0.3726]",0.5296
40769,Setting up for our HII audit workshop with matrons Thank you ISS for your support and super refreshments https // t co / oQE5Fd2FBH,2,neutral,0,positive,0,0,0,0,0,2,1,0.1731,LOW,0.02,26,0.0,0.0,0.5,0.1154,"[0.324, 0.0, 0.676]","[0.8005, 0.0137, 0.1858]","[0.791, 0.0134, 0.1956]",0.791
17946,@ SpursOfficial Cheers lad . You lot just having a really good season hate to say that tbh but never forget that . Good luck for next season !,0,positive,0,positive,1,0,1,0,1,2,0,0.0821,LOW,0.02,29,0.0,0.0,0.1818,0.1379,"[0.307, 0.164, 0.529]","[0.8859, 0.0195, 0.0946]","[0.8743, 0.0224, 0.1033]",0.8743
843,@ Osamathemalang @ BilalKhanWriter @ fawadchaudhry Hahaha ye bnda hrksi ko kafir kehta rehta ha Apne ilawa isay koi musalman nazr hi niata,1,negative,2,neutral,0,2,0,1,1,2,0,0.1461,LOW,0.02,23,0.0,0.0,0.4,0.1304,"[0.25, 0.0, 0.75]","[0.1297, 0.4401, 0.4302]","[0.1321, 0.4313, 0.4366]",0.4366
23329,@ nirahua1 @ narendramodi @ myogiadityanath @ BJP4India jai jai jai AKHELISH jai SAMAJWAD PIR 5sal jhelna padega na â€¦ https // t co / avmQMEXZDQ,0,positive,2,neutral,0,2,0,2,0,2,0,0.1031,LOW,0.02,31,0.0,0.0,0.15,0.2903,"[0.0, 0.0, 1.0]","[0.1432, 0.1535, 0.7033]","[0.1403, 0.1505, 0.7092]",0.7092
43516,JcdPs moulladad k hudood Goth faqeerabad me 3 chor chori karty hue Gaon walon k hath pakry gaye 1 Farar police ky hawaly . Nabi bux Pandrani,2,neutral,1,negative,0,1,0,1,0,2,1,0.1337,LOW,0.02,27,0.0,0.0,0.4211,0.037,"[0.0, 0.0, 1.0]","[0.0367, 0.8604, 0.1029]","[0.036, 0.8432, 0.1209]",0.8432
13712,Unse toh achchi hai yeh cigarette ... dil ko jalati hai magar hoton pe toh aati hai .....ðŸ’”ðŸ’”ðŸ’” SMOKING AND LOVE BOTH C â€¦ https // t . co / rx1AYhkDCA,2,neutral,0,positive,0,0,0,0,0,2,1,0.2207,MODERATE,0.25,43,0.0,0.186,0.3636,0.3256,"[0.159, 0.0, 0.841]","[0.8422, 0.0174, 0.1404]","[0.6714, 0.0131, 0.3155]",0.6714
4424,@ ICC All the best Team India Jeet ke aana ðŸ‡®ðŸ‡³ðŸ‡®ðŸ‡³,0,positive,0,positive,1,0,1,0,1,2,0,0.2045,MODERATE,0.25,22,0.0909,0.0,0.4545,0.2273,"[0.318, 0.0, 0.682]","[0.8284, 0.0179, 0.1537]","[0.7008, 0.0134, 0.2858]",0.7008
11422,@ AlinaButtPti @ MaryamNSharif @ FiyazChohanPTI Alina butt fayyaz hasaan jsa kutta aur begarit admi ha he ni is dunia â€¦ https // t . co / 91BQl9jx8Q,1,negative,1,negative,1,1,1,1,1,2,0,0.1893,LOW,0.02,31,0.0,0.0,0.4375,0.2903,"[0.103, 0.0, 0.897]","[0.0614, 0.7133, 0.2253]","[0.0622, 0.699, 0.2388]",0.699
17588,RT @ Being _ Zeeshan09 Main Turpeya Ghar se Dur # TurpeyaSong Mind Blowing Song Bhaijan ðŸ”¥ðŸ”¥ðŸ”¥ # Eid2019 # Bharat # BharatThisEid # 14DaysToBHARAT h â€¦,0,positive,2,neutral,0,2,0,2,0,2,0,0.1936,LOW,0.02,39,0.0,0.0,0.3889,0.3846,"[0.0, 0.0, 1.0]","[0.4551, 0.0268, 0.5181]","[0.446, 0.0263, 0.5278]",0.5278
8745,@ priyankagandhi Esa koi exam nahi up govt . M jo in 2 saal m leak na huaa hu Ye to sarkar ki rajniti h ki na to ham â€¦ https // t . co / S1s6PxoHiJ,1,negative,2,neutral,0,2,0,2,0,2,0,0.29,MODERATE,0.25,40,0.0,0.0,0.8333,0.2,"[0.0, 0.082, 0.918]","[0.081, 0.2622, 0.6569]","[0.0607, 0.2171, 0.7221]",0.7221
37006,@ Prince _ adi1 Listen to # Duniyaa from # LukaChuppi . I guess you'll love it ..!,0,positive,0,positive,1,0,1,0,1,2,0,0.2367,MODERATE,0.25,20,0.0,0.0,0.5556,0.35,"[0.29, 0.0, 0.71]","[0.726, 0.0125, 0.2615]","[0.617, 0.0094, 0.3736]",0.617
29291,RT @ ArmyBrigade13 Shall we get a few more Streams in of BOY WITH LUV Before the Wembley Concert Starts ?? Leave a Screen of your Stream ! ðŸ‘‡â€¦,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1794,LOW,0.02,36,0.0,0.0,0.45,0.2222,"[0.0, 0.072, 0.928]","[0.1035, 0.0414, 0.855]","[0.1015, 0.042, 0.8565]",0.8565
5905,RT @ Chaosthestic Secondly maa baap ki izzat b koi cheez hoti hai . Har cheez ko support karna band karo . Just because she is a woman doesn â€¦,1,negative,2,neutral,0,2,0,2,0,2,0,0.2562,MODERATE,0.25,32,0.0,0.0,0.75,0.1562,"[0.101, 0.0, 0.899]","[0.1097, 0.4226, 0.4677]","[0.1075, 0.3169, 0.5756]",0.5756
27921,Maleeda Sugar Free-Cholestrol Free-Gluten Free Yug me log sonch bhi nahi sakte ... ðŸ˜ https // t . co / 8928pYsnwY,0,positive,2,neutral,0,2,0,2,0,2,0,0.205,MODERATE,0.25,24,0.0,0.125,0.3846,0.2917,"[0.163, 0.0, 0.837]","[0.1694, 0.262, 0.5686]","[0.1678, 0.1965, 0.6357]",0.6357
8762,@ Yogeshwaraya @ dhanyarajendran I trust Dhanya to be active when it comes to women's issues .,2,neutral,0,positive,0,0,0,0,0,2,1,0.1853,LOW,0.02,17,0.0,0.0,0.5,0.1765,"[0.353, 0.0, 0.647]","[0.813, 0.0234, 0.1636]","[0.8038, 0.0229, 0.1733]",0.8038
42612,Aur godi media vale ko ab v aankhe nhi khuli to Desh rasatal me chala jayega . https // t . co / byeS5LVZQi,1,negative,2,neutral,0,2,0,2,0,2,0,0.2099,MODERATE,0.25,26,0.0,0.0,0.5714,0.1923,"[0.0, 0.0, 1.0]","[0.1083, 0.3533, 0.5383]","[0.0812, 0.265, 0.6538]",0.6538
34997,@ narendramodi government job ke bare me sharkar ku responsible nahi vacancy itni kam aur vo final nahi kar va pa r â€¦ https // t . co / gdatpvcuFQ,1,negative,2,neutral,0,2,0,1,1,2,0,0.2189,MODERATE,0.25,33,0.0,0.0,0.5882,0.2121,"[0.087, 0.0, 0.913]","[0.0873, 0.4608, 0.4519]","[0.0872, 0.3456, 0.5672]",0.5672
10988,Shame Shame ....!! Tu kese jinda hai twitter me ? Tujhe sharam nahi aate hai kya ?? Tere upar Modi ne Dalali Kiya . T â€¦ https // t . co / j8ZP2zPD8q,1,negative,1,negative,1,1,1,1,1,2,0,0.2186,MODERATE,0.25,39,0.0,0.1026,0.4211,0.3333,"[0.0, 0.227, 0.773]","[0.0362, 0.8979, 0.0658]","[0.0272, 0.7302, 0.2426]",0.7302
14844,Abay Ab b Tum log Zinda ho Sharam hoti he koi Haya hoti he Tuo Khud tu kamata nhi Jo tukhe atay k Bhao ka pata ho M â€¦ https // t . co / us5jFzBRGq,1,negative,2,neutral,0,1,1,1,1,2,0,0.2974,MODERATE,0.25,39,0.0,0.0,0.8889,0.1538,"[0.0, 0.0, 1.0]","[0.0809, 0.5917, 0.3274]","[0.0606, 0.4438, 0.4956]",0.4956
3014,@ yadavdimples @ priyankagandhi pehle to janta ne priyanka vadra gandhi ki jam ke chuski le li hai ... ab uska dhol ba â€¦ https // t . co / 8X1FaF7WO4,1,negative,1,negative,1,1,1,1,1,2,0,0.1855,LOW,0.02,34,0.0,0.0882,0.3684,0.2647,"[0.0, 0.0, 1.0]","[0.0518, 0.8013, 0.1468]","[0.0508, 0.7853, 0.1639]",0.7853
20448,chalo bhai tum chahe din bhar opinions kyun na rakh lo but someone else starts having opinions without bothering yo â€¦ https // t . co / 4086iGSpNx,2,neutral,2,neutral,1,2,1,2,1,2,1,0.2959,MODERATE,0.25,31,0.0,0.0,0.8571,0.1935,"[0.104, 0.0, 0.896]","[0.098, 0.1654, 0.7366]","[0.0995, 0.1241, 0.7765]",0.7765
23905,Ab btaao ki isko samprdaayik roop kisne diya us ldke ne ya muslmaan ne ? @ KapilMishra _ IND @ sardanarohit â€¦ https // t co / HTPf2MAhxO,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1798,LOW,0.02,32,0.0,0.0,0.4118,0.2812,"[0.0, 0.0, 1.0]","[0.0783, 0.3094, 0.6124]","[0.0767, 0.3032, 0.6201]",0.6201
37296,@ Payal _ Rohatgi @ YouTube Tweets people do when they are irrelevant to the point ki koi ghaas nahi dalta,2,neutral,2,neutral,1,1,0,1,0,2,1,0.2468,MODERATE,0.25,21,0.0,0.0,0.7273,0.1429,"[0.0, 0.0, 1.0]","[0.0624, 0.5193, 0.4183]","[0.0468, 0.3895, 0.5637]",0.5637
42856,@ Rammi No ðŸ˜… omg I can't remember which place that was I need to look lol,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1566,LOW,0.02,19,0.0,0.0,0.4167,0.1579,"[0.165, 0.129, 0.706]","[0.0707, 0.067, 0.8623]","[0.0726, 0.0683, 0.8591]",0.8591
29080,@ kunalkamra88 @ officialArnab _ Kaun kaun iss baat se sehmat hai ki BJP urf RSS CONGRESS ki galatiyo ka phal hai ?,1,negative,1,negative,1,1,1,1,1,2,0,0.1039,LOW,0.02,24,0.0,0.0,0.2353,0.1667,"[0.0, 0.0, 1.0]","[0.0658, 0.5776, 0.3566]","[0.0645, 0.5661, 0.3694]",0.5661
10822,@ narendramodi Dear Our PM Sree Narendra Modi ji Sir Ham Apke big fan hai sir please yadavo ke laaz ko Aap bachha ka â€¦ https // t co / lFcugw92aD,2,neutral,0,positive,0,0,0,0,0,2,1,0.2637,MODERATE,0.25,35,0.0,0.0,0.7647,0.1714,"[0.224, 0.0, 0.776]","[0.8769, 0.0116, 0.1114]","[0.7137, 0.0087, 0.2776]",0.7137
